id;title;description;due_date;date;status;type;priority
1;out-of-the-box Grocery SMTP;bus;2021-03-09;2021-03-09T05:57:12;IN_PROGRESS;FEATURE;HIGH
2;Afghanistan Utah Quality;Licensed;2021-03-08;2021-03-08T17:19:49;WONT_IMPLEMENT;FEATURE;LOW
3;executive;Connecticut modular;2021-03-08;2021-03-08T23:05:52;OPEN;BUG;LOWER
4;B2C Legacy;Lane Chair Music;2021-03-09;2021-03-09T03:49:49;DUPLICATE;BUG;LOW
5;enable Incredible;Outdoors Fantastic Crest;2021-03-08;2021-03-08T16:03:57;OPEN;FEATURE;NORMAL
6;deposit Cotton Compatible;matrix Balanced Small;2021-03-08;2021-03-08T11:04:11;OPEN;FEATURE;LOW
7;Bike;generate systems Dollar;2021-03-09;2021-03-09T02:06:51;CLOSED;FEATURE;LOWER
8;Innovative utilize Kids;networks Customer;2021-03-09;2021-03-09T02:50:09;DUPLICATE;BUG;LOWERST
9;Rustic attitude-oriented;Data Beauty;2021-03-09;2021-03-09T05:04:11;VERIFIED;FEATURE;HIGHER
10;neural Licensed Refined;payment Steel Human;2021-03-08;2021-03-08T10:44:09;WAITING_FOR_RESPONSE;BUG;HIGH
